#SampleID	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type
SRR14300823	SRP315877	SINGH_2021	C2-41_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300824	SRP315877	SINGH_2021	C2-42_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300825	SRP315877	SINGH_2021	C2-43_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300826	SRP315877	SINGH_2021	C2-44_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300827	SRP315877	SINGH_2021	C2-45_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300828	SRP315877	SINGH_2021	C2-46_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300829	SRP315877	SINGH_2021	C2-47_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300830	SRP315877	SINGH_2021	C2-48_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300831	SRP315877	SINGH_2021	C2-49_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300832	SRP315877	SINGH_2021	C6-35_S72_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300833	SRP315877	SINGH_2021	C2-50_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300834	SRP315877	SINGH_2021	C2-51_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300835	SRP315877	SINGH_2021	C2-52_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300836	SRP315877	SINGH_2021	C2-53_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300837	SRP315877	SINGH_2021	C2-54_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300838	SRP315877	SINGH_2021	C2-55_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300839	SRP315877	SINGH_2021	C2-56_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300840	SRP315877	SINGH_2021	C2-57_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300841	SRP315877	SINGH_2021	C2-58_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300842	SRP315877	SINGH_2021	C2-59_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300843	SRP315877	SINGH_2021	C6-36_S73_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300844	SRP315877	SINGH_2021	C6-63_S100_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300845	SRP315877	SINGH_2021	C2-60_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300846	SRP315877	SINGH_2021	C2-61_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300847	SRP315877	SINGH_2021	C2-62_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300848	SRP315877	SINGH_2021	C2-63_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300849	SRP315877	SINGH_2021	C2-64_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300850	SRP315877	SINGH_2021	C2-66_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300851	SRP315877	SINGH_2021	C2-65_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300852	SRP315877	SINGH_2021	C2-67_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300853	SRP315877	SINGH_2021	C2-68_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300854	SRP315877	SINGH_2021	C2-69_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300855	SRP315877	SINGH_2021	C6-37_S74_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300856	SRP315877	SINGH_2021	C2-70_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300857	SRP315877	SINGH_2021	C2-71_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300858	SRP315877	SINGH_2021	C2-72_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300859	SRP315877	SINGH_2021	C2-73_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300860	SRP315877	SINGH_2021	C2-74_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300861	SRP315877	SINGH_2021	C2-76_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300862	SRP315877	SINGH_2021	C2-75_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300472	SRP315877	SINGH_2021	C2-77_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300473	SRP315877	SINGH_2021	C2-78_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300474	SRP315877	SINGH_2021	C2-79_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300475	SRP315877	SINGH_2021	C6-38_S75_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300476	SRP315877	SINGH_2021	C2-80_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300477	SRP315877	SINGH_2021	C2-81_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300478	SRP315877	SINGH_2021	C2-82_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300479	SRP315877	SINGH_2021	C2-83_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300480	SRP315877	SINGH_2021	C2-84_L001_R2_001.fastq.gz	FOODWASTE	MIXED_(FOODWASTE_+_sewage_sludge)				PAIRED
SRR14300481	SRP315877	SINGH_2021	C3-02_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300482	SRP315877	SINGH_2021	C3-01_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300483	SRP315877	SINGH_2021	C3-03_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300484	SRP315877	SINGH_2021	C3-04_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300485	SRP315877	SINGH_2021	C3-05_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300486	SRP315877	SINGH_2021	C6-39_S76_L001_R2_001.fastq.gz	SILAGE	Green_waste				PAIRED
SRR14300487	SRP315877	SINGH_2021	C3-06_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300488	SRP315877	SINGH_2021	C3-07_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300489	SRP315877	SINGH_2021	C3-08_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300490	SRP315877	SINGH_2021	C3-09_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300491	SRP315877	SINGH_2021	C3-10_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300492	SRP315877	SINGH_2021	C3-12_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300493	SRP315877	SINGH_2021	C3-11_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300494	SRP315877	SINGH_2021	C3-13_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300495	SRP315877	SINGH_2021	C3-14_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
SRR14300496	SRP315877	SINGH_2021	C3-15_L001_R2_001.fastq.gz	MANURE	MANURE				PAIRED
