genera	relative abundance
Sediminibacterium	2.57E-07
Insulibacter	2.57E-07
CAIQIC01	2.57E-07
QANA01	2.55E-07
Hoeflea	2.51E-07
COE1	2.51E-07
JAAZGC01	2.50E-07
HGM11507	2.50E-07
Enterenecus	2.49E-07
IOR16	2.48E-07
JAJUJM01	2.47E-07
Luteolibacter	2.45E-07
Intestinibacter	2.41E-07
SIG459	2.39E-07
Caloranaerobacter	2.36E-07
HGM13010	2.36E-07
Peptoniphilus_E	2.35E-07
JAHHSR01	2.35E-07
Microbispora	2.34E-07
Anaerolinea	2.33E-07
JABMPJ01	2.32E-07
JANQMY01	2.28E-07
Borkfalkia	2.25E-07
Eggerthella	2.25E-07
VFJN01	2.17E-07
Janibacter	2.16E-07
CAG-488	2.11E-07
Fimisoma	2.05E-07
BOG-932	2.03E-07
Cryomorpha	2.03E-07
Sulfurovum	2.02E-07
CF-154	2.01E-07
DUMP01	2.00E-07
CALCTE01	1.93E-07
JAMCWA01	1.92E-07
Humimicrobium	1.92E-07
Sphingomonas	1.89E-07
Bosea	1.89E-07
Pseudomaricurvus	1.89E-07
Woodwardibium	1.81E-07
DTKZ01	1.78E-07
UMGS1338	1.78E-07
PMG-095	1.78E-07
GWE2-40-63	1.78E-07
JAQVCB01	1.77E-07
Maliibacterium	1.74E-07
Negativibacillus	1.72E-07
JAJUJL01	1.68E-07
JAMPXM01	1.68E-07
Thomasclavelia	1.67E-07
Fimimonas	1.66E-07
Tractidigestivibacter	1.65E-07
JAALLB01	1.65E-07
Aureibaculum	1.64E-07
Hominilimicola	1.62E-07
Avidehalobacter	1.61E-07
JAPUDS01	1.60E-07
CAIXLI01	1.60E-07
Aphodomorpha	1.60E-07
CAG-873	1.60E-07
Pelolinea	1.60E-07
JAFCGC01	1.60E-07
VAYN01	1.58E-07
Rummeliibacillus	1.57E-07
DTU063	1.55E-07
RGIG2000	1.54E-07
Ignavibacterium	1.52E-07
ZC4RG30	1.51E-07
Pseudoramibacter	1.50E-07
Chelatococcus_A	1.49E-07
Caccovivens	1.48E-07
Chiayiivirga	1.47E-07
JAFGFN01	1.47E-07
Leptolinea	1.47E-07
Curtobacterium	1.47E-07
Coprenecus	1.42E-07
CALDPK01	1.39E-07
HGM04593	1.37E-07
Butyricimonas	1.36E-07
Azospira	1.28E-07
Desulfocucumis	1.28E-07
JAKASV01	1.27E-07
CASGDD01	1.26E-07
Dethiosulfovibrio	1.26E-07
Asticcacaulis	1.26E-07
Soehngenia	1.25E-07
JACNIV01	1.24E-07
NK4A136	1.20E-07
CALBRZ01	1.18E-07
Christensenella	1.15E-07
CAJOIG01	1.13E-07
GPS1B09	1.12E-07
